type,category,id1,id2,slug1,slug2,name1,name2,year1,year2,match_type,confidence,reason,action,data_completeness1,data_completeness2
movie,EXACT_DUPLICATE,bb753191-329e-4f9c-90af-c4fea1086b51,9ae4694b-6332-4775-907f-de052bd508a0,devi-l--2016,devi-l-2016,"Devi(L)","Devi(L)",2016,2016,exact_title_year,1,"Exact match: exact_title_year",MERGE_RECOMMENDED,100%,100%
movie,EXACT_DUPLICATE,965073e3-e69b-4c2e-9479-b71682d87c3c,06fbeb2c-ab89-423c-9e63-6009e3e96688,madonna-the-confessions-tour-2006,sundaraniki-thondarekkuva-2006,"Sundaraniki Tondarekkuva","Sundaraniki Tondarekkuva",2006,2006,exact_title_year,1,"Exact match: exact_title_year",MERGE_RECOMMENDED,100%,100%
movie,EXACT_DUPLICATE,d79b6116-9e21-4b3b-b041-2cecad34f864,2d747ddf-da74-4d00-a25d-671bde2ab788,the-king-of-kings-2025,andhra-king-taluka-2025,"The King of Kings","Andhra King Taluka",2025,2025,same_tmdb_id,0.98,"Exact match: same_tmdb_id",MERGE_RECOMMENDED,100%,100%
movie,EXACT_DUPLICATE,6db57a76-9fb2-48f8-af66-7b2aba84cc5a,4f01db6e-a4b8-41f9-8ffc-0c8a1207eb34,leela-vinodham-2024,leela-vinodam-2024,"Leela Vinodham","Leela Vinodam",2024,2024,same_tmdb_id,0.98,"Exact match: same_tmdb_id",MERGE_RECOMMENDED,100%,100%
movie,EXACT_DUPLICATE,10e3ce19-4d77-4cbc-8146-1a1c6c7ddefc,a25ca87c-833f-4f51-9468-240e827e3fd7,rangamarthanda-2023,ranga-maarthaanda-2023,"Rangamarthanda","Ranga Maarthaanda",2023,2023,same_tmdb_id,0.98,"Exact match: same_tmdb_id",MERGE_RECOMMENDED,100%,100%
movie,EXACT_DUPLICATE,35091fb5-b678-4c1d-b64a-c7ab5608ec5e,b6958f7d-5e4c-40b2-8bfc-ed9b0d3b2411,thimmarusu-2021,thimmarusu-assignment-vali-2021,"Thimmarusu","Thimmarusu: Assignment Vali",2021,2021,same_tmdb_id,0.98,"Exact match: same_tmdb_id",MERGE_RECOMMENDED,100%,100%
movie,EXACT_DUPLICATE,3c5be79c-e51b-411e-bac5-5690ee502667,4b31853b-2fa8-412d-9647-48945f022774,one-small-story-2021,ek-mini-katha-2021,"One Small Story","Ek Mini Katha",2021,2021,same_tmdb_id,0.98,"Exact match: same_tmdb_id",MERGE_RECOMMENDED,100%,100%
movie,EXACT_DUPLICATE,d9534cbb-1d9d-4a92-b51d-6171446adcb1,7d1cc071-a8c7-4e18-ae94-153f57166bf1,asalem-jarigindi-2021,asalem-jarigandi-2021,"Asalem Jarigindi","Asalem Jarigandi",2021,2021,same_tmdb_id,0.98,"Exact match: same_tmdb_id",MERGE_RECOMMENDED,100%,100%
movie,EXACT_DUPLICATE,7165489f-dd1a-4c40-b0dd-e8e577ec4679,ae8af12e-03a5-4efc-a3f7-a1ac8494d4a7,radha-krishna-2021,krish-2021,"Radha Krishna","Krish",2021,2021,same_tmdb_id,0.98,"Exact match: same_tmdb_id",MERGE_RECOMMENDED,100%,100%
movie,EXACT_DUPLICATE,3aaa6d66-f9c9-4266-b801-43216d6f50e3,f5cf7a2c-8a3c-4f8b-8a62-3505d5def0a6,ala-vaikunthapurramuloo-2020,ala-vaikunthapurramloo-2020,"Ala Vaikunthapurramuloo","Ala Vaikunthapurramloo",2020,2020,same_tmdb_id,0.98,"Exact match: same_tmdb_id",MERGE_RECOMMENDED,100%,100%
movie,EXACT_DUPLICATE,cdf20f6d-4ff4-412a-8104-1d6d886afe66,58009354-8f82-4ce0-a552-f906bb7eaa07,ooriki-uttharana-2021,utthara-2020,"Ooriki Uttharana","Utthara",2021,2020,same_tmdb_id,0.98,"Exact match: same_tmdb_id",MERGE_RECOMMENDED,100%,100%
